strategy,chunk_size,overlap,overlap_ratio,num_chunks,total_tokens,avg_tokens,median_tokens,p10_tokens,p90_tokens,min_tokens,max_tokens,evidence_span_containment_rate,evidence_span_total,single_chunk_full_coverage_rate,required_doc_total,mrr_at_10,n_answerable_questions,recall_at_5,multidoc_full_recall_at_5,context_precision_at_5,recall_at_10,multidoc_full_recall_at_10,context_precision_at_10,seconds
A_fixed_size,256,0,0.0,461,105479,228.8,256,114,256,2,258,0.9137,139,0.8421,95,0.4074,85,0.5647,0.4941,0.1412,0.6118,0.5529,0.0871,2.46
A_fixed_size,256,38,0.15,514,121544,236.5,256,163,256,42,258,0.964,139,0.9053,95,0.4158,85,0.5529,0.4824,0.1412,0.6118,0.5412,0.0871,2.51
A_fixed_size,256,77,0.3,592,144048,243.3,256,203,256,78,258,0.9712,139,0.8947,95,0.3952,85,0.5647,0.4941,0.1435,0.6235,0.5529,0.0918,2.95
A_fixed_size,512,0,0.0,250,105477,421.9,512,161,512,10,514,0.9712,139,0.9263,95,0.5021,85,0.6471,0.5647,0.1553,0.6588,0.5882,0.0835,2.05
A_fixed_size,512,77,0.15,267,119019,445.8,512,222,512,82,513,1.0,139,0.9474,95,0.5105,85,0.6353,0.5529,0.16,0.6471,0.5765,0.0859,2.27
A_fixed_size,512,154,0.3,304,138282,454.9,512,250,512,155,514,1.0,139,0.9789,95,0.4955,85,0.5882,0.5059,0.1718,0.6706,0.6,0.1035,2.4
A_fixed_size,1024,0,0.0,144,105476,732.5,881,161,1024,10,1024,1.0,139,0.9789,95,0.5728,85,0.7176,0.6353,0.1553,0.7412,0.6471,0.08,1.57
A_fixed_size,1024,154,0.15,147,114100,776.2,882,302,1024,164,1024,1.0,139,0.9789,95,0.585,85,0.7059,0.6235,0.1506,0.7294,0.6353,0.08,1.84
A_fixed_size,1024,307,0.3,149,123290,827.4,919,427,1024,317,1024,1.0,139,0.9895,95,0.5865,85,0.7176,0.6353,0.1671,0.7294,0.6471,0.0871,1.72
B_recursive_structural,256,0,0.0,565,105338,186.4,204,91,251,11,270,1.0,139,0.9474,95,0.3834,85,0.5647,0.5059,0.1506,0.6118,0.5529,0.0847,2.33
B_recursive_structural,256,38,0.15,604,124904,206.8,219,110,284,17,308,1.0,139,0.9579,95,0.4148,85,0.5882,0.5176,0.1553,0.6353,0.5647,0.0894,2.61
B_recursive_structural,256,77,0.3,640,147382,230.3,236,129,322,17,347,1.0,139,0.9579,95,0.4093,85,0.5882,0.5176,0.1718,0.6118,0.5529,0.1129,3.0
B_recursive_structural,512,0,0.0,286,105415,368.6,401,180,503,16,526,1.0,139,0.9684,95,0.4624,85,0.6118,0.5412,0.1482,0.6588,0.5882,0.0847,1.97
B_recursive_structural,512,77,0.15,309,122269,395.7,423,207,538,85,603,1.0,139,0.9684,95,0.4915,85,0.6235,0.5529,0.16,0.6706,0.5882,0.0918,2.23
B_recursive_structural,512,154,0.3,336,143102,425.9,432,265,598,85,680,1.0,139,0.9684,95,0.5061,85,0.6235,0.5412,0.1671,0.6588,0.5882,0.0976,2.7
B_recursive_structural,1024,0,0.0,153,105459,689.3,776,229,997,70,1030,1.0,139,0.9895,95,0.5793,85,0.6941,0.6118,0.1482,0.7176,0.6471,0.0812,1.65
B_recursive_structural,1024,154,0.15,156,115451,740.1,801,362,1010,115,1184,1.0,139,1.0,95,0.567,85,0.6824,0.6,0.1482,0.7176,0.6353,0.08,1.99
B_recursive_structural,1024,307,0.3,161,126407,785.1,847,421,1020,115,1281,1.0,139,1.0,95,0.5705,85,0.6941,0.6118,0.16,0.7294,0.6588,0.0871,1.9
C_semantic_section,256,0,0.0,643,113902,177.1,171,47,302,15,503,0.9928,139,0.9474,95,0.4303,85,0.5882,0.5059,0.1765,0.6471,0.5529,0.1129,2.36
C_semantic_section,256,38,0.15,643,118375,184.1,176,48,314,16,503,0.9928,139,0.9474,95,0.4288,85,0.5882,0.5059,0.1741,0.6353,0.5412,0.1118,2.44
C_semantic_section,256,77,0.3,643,122619,190.7,178,48,346,16,503,0.9928,139,0.9474,95,0.4243,85,0.5882,0.5059,0.1741,0.6471,0.5529,0.1141,2.58
C_semantic_section,512,0,0.0,433,109288,252.4,178,44,609,16,978,0.9928,139,0.9474,95,0.5187,85,0.6235,0.5412,0.16,0.6824,0.5882,0.0953,2.12
C_semantic_section,512,77,0.15,433,110215,254.5,179,44,609,16,978,0.9928,139,0.9474,95,0.5187,85,0.6235,0.5412,0.16,0.6824,0.5882,0.0953,2.14
C_semantic_section,512,154,0.3,433,111141,256.7,179,44,641,16,978,0.9928,139,0.9474,95,0.5194,85,0.6353,0.5529,0.1624,0.6824,0.5882,0.0965,2.12
C_semantic_section,1024,0,0.0,199,106826,536.8,361,86,1185,17,1549,0.9928,139,0.9789,95,0.5975,85,0.6941,0.6118,0.1529,0.6941,0.6353,0.0824,1.46
C_semantic_section,1024,154,0.15,199,107291,539.2,361,86,1185,17,1549,0.9928,139,0.9789,95,0.5975,85,0.6941,0.6118,0.1529,0.6941,0.6353,0.0824,1.42
C_semantic_section,1024,307,0.3,199,107750,541.5,365,86,1185,17,1549,0.9928,139,0.9789,95,0.5971,85,0.6824,0.6,0.1506,0.6941,0.6353,0.0824,1.43
